sample_stem                                         , specimen_id, cell_line, genotype, condition, microscope, magnification, position   , session_date, experiment                                                      , has_mito_labels, has_cristae_labels, formats_on_disk, primary_h5_path,on_cluster,cluster_n_files,cluster_formats,cluster_primary_h5,cluster_all_paths
36194_B4_66K_TS_R01A_SC_01_rec_crop                 ,       36194, B4       , WT      , WT       , TS        , 66K          , R01A_SC_01 , 2026-04-29  , fidi_cristae_2026_04_29                                         , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/cristae/cooper/original_files/cristae_2026_04_29_hdf5/36194_B4_66K_TS_R01A_SC_01_rec_crop.h5,yes,5,.h5;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36194_B4_66K_TS_R01A_SC_01_rec_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36194_B4_66K_TS_R01A_SC_01_rec_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2026/fidi_cristae_2026_04_29/36194_B4_66K_TS_R01A_SC_01_rec_crop.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/20250228_for_Mito_Seg/20250228_for_Mito_Seg/36194_B4_66K_TS_R01A_SC_01_rec_crop2.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/20250308_Mito_Seg_Done/done/36194_B4_66K_TS_R01A_SC_01_rec_crop2.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/20250308_Mito_Seg_Done/done_h5_s2/36194_B4_66K_TS_R01A_SC_01_rec_crop2.h5
36194_B4_66K_TS_R01A_SC_15_rec_crop                 ,       36194, B4       , WT      , WT       , TS        , 66K          , R01A_SC_15 , 2026-04-29  , fidi_cristae_2026_04_29                                         , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/cristae/cooper/original_files/cristae_2026_04_29_hdf5/36194_B4_66K_TS_R01A_SC_15_rec_crop.h5,yes,2,.h5;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36194_B4_66K_TS_R01A_SC_15_rec_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36194_B4_66K_TS_R01A_SC_15_rec_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2026/fidi_cristae_2026_04_29/36194_B4_66K_TS_R01A_SC_15_rec_crop.mrc
36194_B4_66K_TS_SC_07_rec_crop                      ,       36194, B4       , WT      , WT       , TS        , 66K          , SC_07      , 2026-04-29  , fidi_cristae_2026_04_29                                         , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/cristae/cooper/original_files/cristae_2026_04_29_hdf5/36194_B4_66K_TS_SC_07_rec_crop.h5,yes,2,.h5;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36194_B4_66K_TS_SC_07_rec_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36194_B4_66K_TS_SC_07_rec_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2026/fidi_cristae_2026_04_29/36194_B4_66K_TS_SC_07_rec_crop.mrc
36194_B4_66K_TS_SC_22_rec_crop                      ,       36194, B4       , WT      , WT       , TS        , 66K          , SC_22      , 2026-04-29  , fidi_cristae_2026_04_29                                         , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/cristae/cooper/original_files/cristae_2026_04_29_hdf5/36194_B4_66K_TS_SC_22_rec_crop.h5,yes,2,.h5;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36194_B4_66K_TS_SC_22_rec_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36194_B4_66K_TS_SC_22_rec_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2026/fidi_cristae_2026_04_29/36194_B4_66K_TS_SC_22_rec_crop.mrc
36194_B4_66K_TS_SC_12_rec_crop                      ,       36194, B4       , WT      , WT       , TS        , 66K          , SC_12      , 2026-03-20  , 20260320_for_Luca                                               , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/mitochondria/cooper/20260320_for_Luca_export/36194_B4_66K_TS_SC_12_rec_crop.h5,yes,2,.h5;.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36194_B4_66K_TS_SC_12_rec_crop.h5,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36194_B4_66K_TS_SC_12_rec_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/36194_B4_66K_TS_SC_12_rec_crop.mrc
36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop       ,       36859, J1       , WT      , WT       , STEM750   , 66K          , SP_03      , 2023-04-15  , forgotten_cristae_session1_2023-04-15                           , yes            , yes               , .h5;.mod;.mrc  , /home/freckmann15/data/cristae/cooper/forgotten_cristae_h5/1_20230415_TOMO_HOI_WT_36859_J1_STEM750/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop.h5,yes,14,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/example_cristae/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_combined.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J1_STEM750_66K_SP_03_rec_crop2.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/mito_tomo/outer-membrane2/2_20230415_TOMO_HOI_WT_36859_J1_STEM750/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/raw_mito_combined_s2/36859_J1_STEM750_66K_SP_03_rec_2kb1dawbp_crop_combined.h5
36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop            ,       36859, J1       , WT      , WT       , STEM750   , 66K          , PS_01      , 2023-08-17  , forgotten_cristae_session2_2023-08-17; also in 20260320_for_Luca, yes            , yes               , .h5;.mod;.mrc  , /home/freckmann15/data/mitochondria/cooper/20260320_for_Luca_export/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop.h5,yes,15,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_combined.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop2.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/mito_tomo/outer-membrane2/3_20230817_TOMO_HOI_WT_36859_J1_STEM750/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/raw_mito_combined_s2/36859_J1_66K_TS_PS_01_rec_2kb1dawbp_crop_combined.h5
36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop        ,       36859, J1       , WT      , WT       , uPSTEM750 , 66K          , CA3_PS_23  , 2023-11-06  , forgotten_cristae_session3_2023-11-06; also in 20260320_for_Luca, yes            , yes               , .h5;.mod;.mrc  , /home/freckmann15/data/mitochondria/cooper/20260320_for_Luca_export/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop.h5,yes,10,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/mito_tomo/outer-membrane4/5_20231106_TOMO_HOI_WT_36859_J1_uPSTEM750/36859_J1_66K_TS_CA3_PS_23_rec_2Kb1dawbp_crop.h5
36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop        ,       36859, J1       , WT      , WT       , uPSTEM750 , 66K          , CA3_PS_52  , 2023-11-06  , forgotten_cristae_session3_2023-11-06                           , yes            , yes               , .h5;.mod;.mrc  , /home/freckmann15/data/cristae/cooper/forgotten_cristae_h5/3_20231106_TOMO_HOI_WT_36859_J1_uPSTEM750/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop.h5,yes,9,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/new_mitos/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_WT/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/mito_tomo/outer-membrane4/5_20231106_TOMO_HOI_WT_36859_J1_uPSTEM750/36859_J1_66K_TS_CA3_PS_52_rec_2Kb1dawbp_crop.h5
36859_J1_STEM750_66K_SP_06_rec_2kb1dawbp_crop       ,       36859, J1       , WT      , WT       , STEM750   , 66K          , SP_06      , unknown     , fidi_cristae_2026_04_29; also in 20260320_for_Luca              , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/mitochondria/cooper/20260320_for_Luca_export/36859_J1_STEM750_66K_SP_06_rec_2kb1dawbp_crop.h5,yes,5,.h5;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36859_J1_STEM750_66K_SP_06_rec_2kb1dawbp_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36859_J1_STEM750_66K_SP_06_rec_2kb1dawbp_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2026/fidi_cristae_2026_04_29/36859_J1_STEM750_66K_SP_06_rec_2kb1dawbp_crop.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J1_STEM750_66K_SP_06_rec_2kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/36859_J1_STEM750_66K_SP_06_rec_2kb1dawbp_crop.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/mito_tomo/outer-membrane2/2_20230415_TOMO_HOI_WT_36859_J1_STEM750/36859_J1_STEM750_66K_SP_06_rec_2kb1dawbp_crop.h5
36859_J1_STEM750_66K_SP_14_rec_2kb1dawbp_crop       ,       36859, J1       , WT      , WT       , STEM750   , 66K          , SP_14      , unknown     , 20260320_for_Luca                                               , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/mitochondria/cooper/20260320_for_Luca_export/36859_J1_STEM750_66K_SP_14_rec_2kb1dawbp_crop.h5,yes,2,.h5;.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J1_STEM750_66K_SP_14_rec_2kb1dawbp_crop.h5,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J1_STEM750_66K_SP_14_rec_2kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/36859_J1_STEM750_66K_SP_14_rec_2kb1dawbp_crop.mrc
36859_J1_66K_TS_PS_03_rec_2kb1dawbp_crop            ,       36859, J1       , WT      , WT       , TS        , 66K          , PS_03      , 2026-04-29  , fidi_cristae_2026_04_29                                         , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/cristae/cooper/original_files/cristae_2026_04_29_hdf5/36859_J1_66K_TS_PS_03_rec_2kb1dawbp_crop.h5,yes,2,.h5;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36859_J1_66K_TS_PS_03_rec_2kb1dawbp_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2026/36859_J1_66K_TS_PS_03_rec_2kb1dawbp_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2026/fidi_cristae_2026_04_29/36859_J1_66K_TS_PS_03_rec_2kb1dawbp_crop.mrc
36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop         ,       36859, J2       , WT      , WT       , uPSTEM750 , 66K          , R04_MF04   , 2023-08-29  , forgotten_cristae_session4_2023-08-29                           , yes            , yes               , .h5;.mod;.mrc  , /home/freckmann15/data/cristae/cooper/forgotten_cristae_h5/4_20230829_TOMO_HOI_WT_36859_J2_uPSTEM750/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop.h5,yes,9,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/forgotten_cristae_h5_combined/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop3_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop3.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop3_combined.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop3_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop3_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop3_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop_cristae3.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/raw_mito_combined_s2/36859_J2_66K_TS_R04_MF04_rec_2Kb1dawbp_crop3_combined.h5
36859_J2_66K_TS_R04_MF03_rec_2Kb1dawbp_crop         ,       36859, J2       , WT      , WT       , TS        , 66K          , R04_MF03   , 2026-03-20  , 20260320_for_Luca                                               , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/mitochondria/cooper/20260320_for_Luca_export/36859_J2_66K_TS_R04_MF03_rec_2Kb1dawbp_crop.h5,yes,2,.h5;.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J2_66K_TS_R04_MF03_rec_2Kb1dawbp_crop.h5,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J2_66K_TS_R04_MF03_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/36859_J2_66K_TS_R04_MF03_rec_2Kb1dawbp_crop.mrc
36859_J2_66K_TS_R04_MF05_rec_2Kb1dawbp_crop         ,       36859, J2       , WT      , WT       , TS        , 66K          , R04_MF05   , 2026-03-20  , 20260320_for_Luca                                               , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/mitochondria/cooper/20260320_for_Luca_export/36859_J2_66K_TS_R04_MF05_rec_2Kb1dawbp_crop.h5,yes,3,.h5;.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J2_66K_TS_R04_MF05_rec_2Kb1dawbp_crop.h5,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J2_66K_TS_R04_MF05_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/36859_J2_66K_TS_R04_MF05_rec_2Kb1dawbp_crop.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/mito_tomo/outer-membrane5/6_20230829_TOMO_HOI_WT_36859_J2_uPSTEM750/36859_J2_66K_TS_R04_MF05_rec_2Kb1dawbp_crop.h5
